symbol,market_type,side,timeframe,regime_ok,mtf_ok,adx_min_cfg,atr_min_pct_cfg,bb_bw_min_pct_cfg,chop_max_cfg,don_len_cfg,breakout_buffer_pct_cfg,volume_mult_cfg,rsi_long_cfg,rsi_short_cfg,mtf_confirm_cfg,adx,atr_pct,bb_bw_pct,chop,rsi,rvol,don_ok,rsi_ok,pchg,pchg_ok,signal_now,ts
LDO/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,88.92332625131475,0.29178823523969943,2.6188400481331664,27.473466991397284,13.707159130833887,1.21132450257222,False,True,-0.004470426409903694,False,False,2025-08-11T11:03:17.733786+00:00
OG/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,64.4419515245655,0.4314592118604994,2.4551170083619094,34.29823893814098,70.84870665704457,1.7536118897932378,False,False,0.006264016704044639,False,False,2025-08-11T11:03:17.989257+00:00
LISTA/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,56.14981549038747,0.49568785801718857,1.3021561184641746,60.374153779239826,40.51719247925059,0.6106930638085161,False,True,-0.0039109506618530965,False,False,2025-08-11T11:03:18.250760+00:00
SOON/USDT:USDT,,,1m,True,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,55.912205314372194,0.6109771922506123,2.443570659252358,41.226464533459165,39.01217834791915,1.012419040872221,False,True,-0.016441723482213177,False,False,2025-08-11T11:03:18.503218+00:00
SANTOS/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,73.6687342394076,0.2069562901732125,0.706923329095071,56.79195854244993,41.66665451389259,0.386776501192115,False,True,0.0031824611032533756,False,False,2025-08-11T11:03:18.760099+00:00
ENA/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,47.017254138870285,0.260819066321396,1.0116226698935222,48.58138431486098,32.019682350957936,1.3440687194209118,False,True,-0.0031742156024906487,False,False,2025-08-11T11:03:19.008926+00:00
MAGIC/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,43.988203182546556,0.8159726425138393,3.001084009517986,57.58972102231633,29.99996769234258,0.6232489040702742,False,True,-0.0020073603211776536,False,False,2025-08-11T11:03:19.262392+00:00
MLN/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,54.67386975712022,0.43803466337785263,1.6547123060359288,38.142156998711464,64.54182906938027,8.56323209218715,False,False,0.011870100783874626,False,False,2025-08-11T11:03:19.524571+00:00
GMX/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,48.81712443596513,0.15810351329645786,0.5998377106004109,53.465567340136744,57.943921442921784,0.9605763289447447,False,False,-0.001453234900889333,False,False,2025-08-11T11:03:19.785433+00:00
LQTY/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,60.00579072513716,0.17798178794281072,0.7810788490846053,47.53686361454182,34.84844788800967,1.4317298926565702,False,True,-0.004684486084320816,False,False,2025-08-11T11:03:20.054131+00:00
SAHARA/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,59.68601485192584,0.18108054045378202,0.8528885169600936,50.96564925107795,56.34858025387064,2.2024753798327903,False,False,0.0008211866146581315,False,False,2025-08-11T11:03:20.320140+00:00
SSV/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,54.71179088063204,0.2512059850054138,0.7165602590604169,45.837231797345055,36.99421665942757,0.39151186660020476,False,True,-0.003279610194902527,False,False,2025-08-11T11:03:20.578825+00:00
ZKJ/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,47.37193124805113,0.48847996154546425,0.751032564813411,73.07983158616815,39.9999253334727,0.3908553639408673,False,True,-0.0034509202453986143,False,False,2025-08-11T11:03:20.832444+00:00
